import time: self [us] | cumulative | imported package
import time:     69498 |     254238 |                   tzlocal.utils
import time:    118115 |     372352 |                 tzlocal.unix
import time:    645508 |    1017860 |               tzlocal
import time:    477937 |    1495796 |             celery.utils.time
import time:    177076 |    1672871 |           celery.utils.dispatch.signal
import time:    142079 |    1814950 |         celery.utils.dispatch
import time:    435150 |    2250100 |       celery.signals
import time:    104035 |     104035 |       celery.loaders
import time:     74232 |      74232 |       celery.utils.abstract
import time:      5992 |       5992 |         __pypy__
import time:     93177 |      99168 |       celery.utils.collections
import time:     86518 |      86518 |       celery.utils.objects
import time:     78149 |      78149 |       celery.utils.annotations
import time:     63264 |      63264 |       celery.utils.quorum_queues
import time:     56608 |      56608 |       celery.app.backends
import time:     70947 |      70947 |       celery.app.builtins
import time:     82596 |      82596 |       celery.app.annotations
import time:    657452 |     657452 |       celery.app.autoretry
import time:     76040 |      76040 |       celery.app.defaults
import time:     59748 |      59748 |       celery.app.registry
import time:     60689 |      60689 |       celery.app.utils
import time:    138892 |    8109243 |     celery.app.base
import time:    114481 |   12134769 |   celery.app
import time:     46007 |      46007 |         celery.utils.graph
import time:      5436 |       5436 |         greenlet
import time:     47274 |      98716 |       celery.bootsteps
import time:     70854 |      70854 |       celery.concurrency
import time:      1513 |       1513 |         shelve
import time:     49592 |      51105 |       celery.worker.state
import time:     82615 |     303288 |     celery.worker.worker
import time:     82146 |     385433 |   celery.worker
import time:     47999 |      47999 |   celery.loaders.base
import time:    294026 |   13038170 | config.celery
import time:     43217 |      43217 |       dotenv.parser
import time:     33058 |      33058 |       dotenv.variables
import time:     81875 |     158149 |     dotenv.main
import time:     71442 |     229590 |   dotenv
import time:      4754 |       4754 |   channels
import time:     75994 |     310337 | config.settings.base
import time:      2476 |       2476 |         http
import time:      5831 |       5831 |         http.cookies
import time:     62336 |      70642 |       django.http.cookie
import time:      2832 |       2832 |             hmac
import time:      1545 |       1545 |             secrets
import time:     34413 |      34413 |             django.utils.encoding
import time:     36433 |      75221 |           django.utils.crypto
import time:     34186 |     109407 |         django.core.signing
import time:     44618 |      44618 |             django.core.files.temp
import time:     40848 |      85466 |           django.core.files.uploadedfile
import time:     42754 |     128219 |         django.core.files.uploadhandler
import time:      2356 |       2356 |             html.entities
import time:      2801 |       5156 |           html
import time:     36818 |      36818 |           django.utils.datastructures
import time:       201 |        201 |             unicodedata
import time:     35612 |      35813 |           django.utils.http
import time:     38067 |     115852 |         django.http.multipartparser
import time:     38789 |     392265 |       django.http.request
import time:      4384 |       4384 |           _winapi
import time:      9223 |       9223 |           winreg
import time:      3657 |      17263 |         mimetypes
import time:      1294 |       1294 |             email.feedparser
import time:      1385 |       2678 |           email.parser
import time:      3810 |       6488 |         http.client
import time:     54868 |      54868 |                   django.db.models.utils
import time:     96558 |     151426 |                 django.db.models.signals
import time:     56532 |      56532 |                                         django.template.context
import time:     54824 |      54824 |                                             django.utils.dates
import time:     49349 |      49349 |                                             django.utils.timezone
import time:     53391 |     157563 |                                           django.utils.dateformat
import time:     61086 |      61086 |                                           django.utils.numberformat
import time:     49332 |     267980 |                                         django.utils.formats
import time:      3482 |       3482 |                                             _markupbase
import time:     14886 |      18367 |                                           html.parser
import time:     47028 |      47028 |                                             django.utils.deconstruct
import time:     47111 |      47111 |                                             django.utils.ipv6
import time:     58680 |     152818 |                                           django.core.validators
import time:      2458 |       2458 |                                             gzip
import time:     51884 |      54342 |                                           django.utils.text
import time:     58194 |     283720 |                                         django.utils.html
import time:     51227 |      51227 |                                         django.template.exceptions
import time:     57425 |     716883 |                                       django.template.base
import time:     47841 |      47841 |                                       django.template.library
import time:     81880 |     846603 |                                     django.template.engine
import time:     46327 |      46327 |                                     django.template.utils
import time:    114851 |     114851 |                                         django.template.backends
import time:     50447 |      50447 |                                           django.utils._os
import time:     61372 |     111819 |                                         django.template.backends.base
import time:    111377 |     338046 |                                       django.template.backends.django
import time:     65720 |     403765 |                                     django.template.autoreload
import time:     77524 |    1374217 |                                   django.template
import time:      2149 |    1376366 |                                 django.template.backends
import time:      1593 |    1377958 |                               django.template.backends.django
import time:     58609 |      58609 |                               django.template.loader
import time:     49921 |    1486487 |                             django.forms.renderers
import time:     50455 |    1536941 |                           django.forms.utils
import time:      2020 |       2020 |                             graphlib
import time:    105268 |     105268 |                               django.templatetags
import time:    111765 |     217032 |                             django.templatetags.static
import time:     58131 |      58131 |                             django.utils.choices
import time:     63359 |     340542 |                           django.forms.widgets
import time:     84892 |    1962373 |                         django.forms.boundfield
import time:     61902 |      61902 |                           django.utils.dateparse
import time:     50490 |      50490 |                           django.utils.duration
import time:     61170 |     173562 |                         django.forms.fields
import time:     49406 |      49406 |                         django.forms.forms
import time:     58933 |      58933 |                         django.forms.formsets
import time:     55982 |      55982 |                         django.forms.models
import time:     84634 |    2384887 |                       django.forms
import time:     56544 |      56544 |                       django.db.models.constants
import time:     56458 |      56458 |                         django.db.transaction
import time:     48004 |      48004 |                         django.utils.tree
